,id,longitud,latitud,cluster
0,1001,-3670894011026,40440937887961,266
1,1002,-3671185423520,40507342227705,25
2,1003,-3671260560327,40479429913320,135
3,1006,-3663364154866,40483306045405,117
4,1009,-3652180524547,40414053027017,249
5,1010,-3651896052690,40463252469827,29
6,1011,-3633466918166,40400137245921,126
7,1012,-3633219410282,40403810253889,126
8,1013,-3634021325046,40462640205792,51
9,1014,-3633387127439,40385413734041,3
10,1015,-3633079697584,40433563839481,5
11,1016,-3633050622237,40407835943327,26
12,1017,-3633140054366,40429779443785,163
13,1018,-3634050790998,40432422396207,5
14,1019,-3609814703288,40448275194187,78
15,1020,-3609691744446,40422125720729,161
16,1021,-3616634567385,40459301061323,9
17,1022,-3616231068174,40405272650153,40
18,1023,-3616180221618,40442470577211,274
19,1024,-3616122956973,40406935391856,40
20,1025,-3615207566993,40444674007756,274
21,1026,-3616158714917,40459885404413,9
22,1027,-3616286167890,40459513772331,9
23,1028,-3615428504636,40463791095975,9
24,1029,-3615945312686,40463081324090,9
25,1030,-3615919898822,40457549674950,9
26,1031,-3621941967636,40436772650202,39
27,1032,-3621149737368,40454886092887,100
28,1033,-3621342818513,40455066099950,100
29,1034,-3621658609592,40442355450278,248
30,1035,-3622167110255,40417268532612,137
31,1036,-3622083719923,40390360063322,165
32,1037,-3621698360426,40435402573788,267
33,1038,-3630169851704,40425943377126,66
34,1039,-3625890387996,40406561771674,26
35,1040,-3625832350811,40384326094408,165
36,1041,-3630179517369,40409478795069,26
37,1042,-3633406811606,40384255920287,3
38,1043,-3633578612783,40404944684416,126
39,1044,-3652000595979,40449958862013,287
40,1045,-3633675976086,40432046586861,5
41,1046,-3651534364263,40374371362908,177
42,1047,-3651291936458,40414118637143,249
43,1048,-3698755215664,40350351988718,22
44,1049,-3712474845022,40482160007887,6
45,1050,-3700108093243,40417090799558,133
46,1052,-3711129118133,40451415534947,136
47,3395,-3640458131987,40465296670649,252
48,3396,-3640462647917,40461905949488,51
49,3397,-3640635676514,40461070315601,51
50,3398,-3660178399316,40427427882294,79
51,3399,-3660181338524,40460689557537,225
52,3400,-3660251370236,40417567187912,218
53,3401,-3724139224530,40414880037600,44
54,3402,-3724556987462,40424110277618,106
55,3403,-3743994927046,40456404763327,289
56,3404,-3665566333639,40507808272545,277
57,3405,-3664765151450,40482523110773,247
58,3406,-3666472435808,40452274294071,153
59,3407,-3637301722908,40437040884817,129
60,3408,-3656635860803,40445896164900,16
61,3409,-3640991158500,40432425434064,213
62,3410,-3729464171467,40428967257115,240
63,3411,-3735729221752,40390239159020,224
64,3412,-3655744012131,40422219506584,27
65,3413,-3655727947007,40493494820048,182
66,3414,-3661587095993,40440870718561,234
67,3415,-3661638009421,40432094062528,79
68,3416,-3661732246352,40394411945169,219
69,3417,-3722677171201,40419889461507,191
70,3418,-3722731847998,40429972783303,255
71,3419,-3649915314319,40449834121629,287
72,3420,-3665972751989,40443045172256,253
73,3421,-3693432105808,40405356909420,297
74,3423,-3693442598987,40490561629781,270
75,3424,-3699451915447,40418205972816,133
76,3425,-3699462619677,40402884938136,87
77,3426,-3699493380751,40451898146857,2
78,3427,-3699578008224,40476027269934,37
79,3428,-3668748104047,40423773795107,47
80,3430,-3679972279056,40458504386126,58
81,3431,-3701910967618,40394497967582,53
82,3432,-3712743146881,40420870322507,13
83,3433,-3646213235702,40434000631732,50
84,3434,-3679595873345,40420711927759,114
85,3435,-3679809650537,40467616343441,98
86,3436,-3738306661005,40434177737974,205
87,3437,-3651302019293,40381874264672,60
88,3438,-3651317459094,40374584480532,177
89,3439,-3735778158555,40435917470513,205
90,3440,-3654118274762,40404109133509,192
91,3442,-3661964625971,40438523363096,234
92,3443,-3662171462555,40391007715205,152
93,3444,-3723014426215,40471095985132,89
94,3445,-3667009782405,40496596051899,111
95,3446,-3666660946357,40505668659605,277
96,3447,-3682129597821,40441758148798,200
97,3448,-3694743511750,40468762366966,189
98,3449,-3695059991670,40451198749443,131
99,3452,-3697510433964,40474833603200,37
100,3453,-3697519021027,40505075484352,194
101,3454,-3700918745781,40403052296428,87
102,3455,-3700979001932,40403098679258,87
103,3456,-3700983129546,40371086680250,211
104,3457,-3712904265622,40453623367450,136
105,3458,-3712969674009,40421729071214,13
106,3459,-3712970068072,40483362891146,6
107,3460,-3653966165457,40454797598157,184
108,3461,-3654425449262,40453575955785,184
109,3462,-3714968978402,40397367959514,243
110,3463,-3603104218586,40424175153685,14
111,3464,-3603175291177,40438505062537,134
112,3465,-3607400042905,40435759451229,134
113,3466,-3607443449958,40367415887706,20
114,3467,-3607608175768,40434569919411,134
115,3468,-3640379861938,40441759437215,272
116,3469,-3640390212048,40465241867605,252
117,3470,-3651652230952,40449842786028,287
118,3471,-3738447485126,40473631321462,21
119,3472,-3653558290618,40467925870572,29
120,3473,-3653559883252,40424456331834,245
121,3474,-3659970857864,40435669667504,179
122,3475,-3737170281103,40477205084481,21
123,3476,-3723050462810,40403119543933,18
124,3477,-3723075489575,40394010238037,186
125,3478,-3723075691894,40418233915259,191
126,3479,-3680919338056,40452505862847,116
127,3480,-3665752726831,40403717829258,168
128,3481,-3684341950374,40470146402823,157
129,3482,-3715945757197,40479177762406,6
130,3483,-3727803863001,40426858503737,106
131,3484,-3727812868529,40490753248910,48
132,3485,-3671471660836,40431206459981,110
133,3486,-3695500904457,40446724258071,217
134,3487,-3685133174120,40515610925571,64
135,3488,-3747974132337,40474547627012,167
136,3489,-3748499471049,40384960430882,221
137,3490,-3748937335848,40403723336927,169
138,3491,-3749061410278,40362660893614,36
139,3492,-3749279209945,40377087314607,127
140,3493,-3749305850978,40377108205531,127
