id;longitud;latitud
1001;-3670894011026;40440937887961
1002;-3671185423520;40507342227705
1003;-3671260560327;40479429913320
1006;-3663364154866;40483306045405
1009;-3652180524547;40414053027017
1010;-3651896052690;40463252469827
1011;-3633466918166;40400137245921
1012;-3633219410282;40403810253889
1013;-3634021325046;40462640205792
1014;-3633387127439;40385413734041
1015;-3633079697584;40433563839481
1016;-3633050622237;40407835943327
1017;-3633140054366;40429779443785
1018;-3634050790998;40432422396207
1019;-3609814703288;40448275194187
1020;-3609691744446;40422125720729
1021;-3616634567385;40459301061323
1022;-3616231068174;40405272650153
1023;-3616180221618;40442470577211
1024;-3616122956973;40406935391856
1025;-3615207566993;40444674007756
1026;-3616158714917;40459885404413
1027;-3616286167890;40459513772331
1028;-3615428504636;40463791095975
1029;-3615945312686;40463081324090
1030;-3615919898822;40457549674950
1031;-3621941967636;40436772650202
1032;-3621149737368;40454886092887
1033;-3621342818513;40455066099950
1034;-3621658609592;40442355450278
1035;-3622167110255;40417268532612
1036;-3622083719923;40390360063322
1037;-3621698360426;40435402573788
1038;-3630169851704;40425943377126
1039;-3625890387996;40406561771674
1040;-3625832350811;40384326094408
1041;-3630179517369;40409478795069
1042;-3633406811606;40384255920287
1043;-3633578612783;40404944684416
1044;-3652000595979;40449958862013
1045;-3633675976086;40432046586861
1046;-3651534364263;40374371362908
1047;-3651291936458;40414118637143
1048;-3698755215664;40350351988718
1049;-3712474845022;40482160007887
1050;-3700108093243;40417090799558
1052;-3711129118133;40451415534947
3395;-3640458131987;40465296670649
3396;-3640462647917;40461905949488
3397;-3640635676514;40461070315601
3398;-3660178399316;40427427882294
3399;-3660181338524;40460689557537
3400;-3660251370236;40417567187912
3401;-3724139224530;40414880037600
3402;-3724556987462;40424110277618
3403;-3743994927046;40456404763327
3404;-3665566333639;40507808272545
3405;-3664765151450;40482523110773
3406;-3666472435808;40452274294071
3407;-3637301722908;40437040884817
3408;-3656635860803;40445896164900
3409;-3640991158500;40432425434064
3410;-3729464171467;40428967257115
3411;-3735729221752;40390239159020
3412;-3655744012131;40422219506584
3413;-3655727947007;40493494820048
3414;-3661587095993;40440870718561
3415;-3661638009421;40432094062528
3416;-3661732246352;40394411945169
3417;-3722677171201;40419889461507
3418;-3722731847998;40429972783303
3419;-3649915314319;40449834121629
3420;-3665972751989;40443045172256
3421;-3693432105808;40405356909420
3423;-3693442598987;40490561629781
3424;-3699451915447;40418205972816
3425;-3699462619677;40402884938136
3426;-3699493380751;40451898146857
3427;-3699578008224;40476027269934
3428;-3668748104047;40423773795107
3430;-3679972279056;40458504386126
3431;-3701910967618;40394497967582
3432;-3712743146881;40420870322507
3433;-3646213235702;40434000631732
3434;-3679595873345;40420711927759
3435;-3679809650537;40467616343441
3436;-3738306661005;40434177737974
3437;-3651302019293;40381874264672
3438;-3651317459094;40374584480532
3439;-3735778158555;40435917470513
3440;-3654118274762;40404109133509
3442;-3661964625971;40438523363096
3443;-3662171462555;40391007715205
3444;-3723014426215;40471095985132
3445;-3667009782405;40496596051899
3446;-3666660946357;40505668659605
3447;-3682129597821;40441758148798
3448;-3694743511750;40468762366966
3449;-3695059991670;40451198749443
3452;-3697510433964;40474833603200
3453;-3697519021027;40505075484352
3454;-3700918745781;40403052296428
3455;-3700979001932;40403098679258
3456;-3700983129546;40371086680250
3457;-3712904265622;40453623367450
3458;-3712969674009;40421729071214
3459;-3712970068072;40483362891146
3460;-3653966165457;40454797598157
3461;-3654425449262;40453575955785
3462;-3714968978402;40397367959514
3463;-3603104218586;40424175153685
3464;-3603175291177;40438505062537
3465;-3607400042905;40435759451229
3466;-3607443449958;40367415887706
3467;-3607608175768;40434569919411
3468;-3640379861938;40441759437215
3469;-3640390212048;40465241867605
3470;-3651652230952;40449842786028
3471;-3738447485126;40473631321462
3472;-3653558290618;40467925870572
3473;-3653559883252;40424456331834
3474;-3659970857864;40435669667504
3475;-3737170281103;40477205084481
3476;-3723050462810;40403119543933
3477;-3723075489575;40394010238037
3478;-3723075691894;40418233915259
3479;-3680919338056;40452505862847
3480;-3665752726831;40403717829258
3481;-3684341950374;40470146402823
3482;-3715945757197;40479177762406
3483;-3727803863001;40426858503737
3484;-3727812868529;40490753248910
3485;-3671471660836;40431206459981
3486;-3695500904457;40446724258071
3487;-3685133174120;40515610925571
3488;-3747974132337;40474547627012
3489;-3748499471049;40384960430882
3490;-3748937335848;40403723336927
3491;-3749061410278;40362660893614
3492;-3749279209945;40377087314607
3493;-3749305850978;40377108205531
3494;-3770685603024;40393617545756
3495;-3772771819555;40399064278661
3496;-3777286914282;40364057860871
3497;-3678881722222;40453032803930
3498;-3735039849663;40375276042921
3499;-3735925180247;40385758425377
3500;-3735955403238;40473116033668
3501;-3661036276317;40437051954679
3502;-3661040179786;40439174019958
3503;-3661067509442;40414112241914
3504;-3661129832529;40485731441395
3505;-3738875371962;40409321385829
3506;-3739064907438;40377226652673
3507;-3739305246997;40435093649296
3508;-3688697480448;40408220711969
3509;-3712348824436;40374524629656
3510;-3756091204054;40362579442508
3511;-3701082240207;40457924896001
3512;-3651909773006;40450249556555
3513;-3734900736016;40373812144017
3514;-3654119399657;40442149974188
3515;-3739480867807;40476895350435
3516;-3739522377555;40377923225085
3517;-3680935695689;40387558828079
3518;-3695627979655;40419811306095
3519;-3712775678207;40439873947064
3520;-3712784347216;40469273662822
3521;-3771974258841;40394129238047
3522;-3737787228280;40437845018844
3523;-3600913501206;40434033986212
3524;-3652919607208;40442129571713
3525;-3660838681181;40502338842126
3526;-3660876775924;40485259764954
3527;-3667065389999;40401870796155
3528;-3673979632325;40467873502140
3529;-3701968252023;40394231192849
3530;-3711857251362;40470602741674
3531;-3766923748537;40390859107610
3532;-3767406101316;40370202277105
3533;-3767698585461;40380090739539
3536;-3772480691506;40376863158716
3538;-3779365898556;40453364210738
3539;-3772379288421;40394040854729
3542;-3663239090910;40466847462470
3544;-3662657701545;40443980634157
3545;-3662760230300;40474124766337
3546;-3633960521124;40432122368180
3551;-3683926144869;40458723035294
3553;-3731100011383;40406585406349
3554;-3658450499638;40393217719536
3555;-3658420713509;40487316879462
3556;-3718537908569;40429916065156
3557;-3703700306211;40448514524683
3558;-3768336058297;40399080689383
3559;-3768521330898;40391228172666
3560;-3770299749370;40392666482587
3561;-3772929253860;40396490208267
3562;-3679427168985;40434593027481
3563;-3613166277214;40434249121946
3564;-3617636128753;40460228225460
3565;-3628208423289;40383303399728
3566;-3641917150921;40429615550420
3567;-3642080661940;40388275516635
3568;-3642134806924;40396121230436
3569;-3645188839459;40429187167583
3570;-3663555410045;40421050292304
3571;-3664537131943;40440997060854
3572;-3681054371037;40394563410211
3573;-3683738081801;40398608448032
3574;-3683210711896;40467331114665
3576;-3683986950451;40361389185009
3577;-3744102233573;40386292113034
3578;-3668963277912;40421422474831
3579;-3691726844905;40422132092997
3580;-3696522426691;40390145852830
3581;-3696603240593;40385751913952
3582;-3581622395086;40471179103269
3583;-3699616584680;40382713802499
3584;-3699650768697;40429202523497
3585;-3606712961730;40370755830075
3586;-3606746863783;40404056960908
3587;-3667783995721;40400672158953
3588;-3657303590058;40421747255886
3589;-3657363385440;40455338807615
3590;-3728169871615;40385271176287
3591;-3659630173406;40471313224930
3592;-3659646690893;40435274269886
3593;-3672702360801;40423016795105
3594;-3672709925785;40484920571247
